Customer ID,Total Sales,Total Profit,Total Quantity,Total Orders,Cluster
BF-11005,1333.88,-291.38109999999995,26,10,1
BF-11020,2888.506,302.02,78,21,0
BF-11080,272.95,110.9272,29,6,1
BF-11170,5907.972,1538.2127,102,27,2
BF-11215,1585.162,523.2133,48,8,1
BF-11275,791.9899999999999,25.870199999999997,11,4,1
BG-11035,2798.948,-711.4274,35,12,1
BG-11695,1874.172,107.5715,24,8,1
BG-11740,1006.356,119.34790000000001,22,7,1
BH-11710,6255.351,802.7898,97,24,0
BK-11260,659.1379999999999,-63.764399999999995,58,16,0
BM-11140,11789.63,-1659.9580999999998,64,16,0
BM-11575,808.162,95.58160000000001,22,10,1
BM-11650,7294.185,2199.2781,95,29,2
BM-11785,1338.842,137.7439,44,14,1
BN-11470,265.296,36.6131,15,6,1
BN-11515,1459.344,340.7054,79,17,0
BO-11350,2682.728,278.77700000000004,43,12,1
BO-11425,130.83,59.4522,7,2,1
BP-11050,983.42,209.78300000000002,30,7,1
BP-11095,2442.044,433.9751,70,20,0
BP-11155,1697.8609999999999,647.3847000000001,32,11,1
BP-11185,3675.861,363.5991,69,18,0
BP-11230,1181.49,-197.2695,14,6,1
BP-11290,2475.157,-319.0637,51,16,0
BS-11365,10501.653,2616.0643999999998,39,9,2
BS-11380,3887.834,-17.532200000000024,58,13,0
BS-11590,2454.928,381.7807,41,10,1
BS-11665,3288.1099999999997,238.73680000000002,47,11,1
BS-11755,2562.382,-113.29840000000003,45,14,0
BS-11800,949.4300000000001,194.0516,22,8,1
BT-11305,2567.656,417.5918,33,9,1
BT-11395,2186.6130000000003,257.9163,38,10,1
BT-11440,603.876,-77.5256,16,7,1
BT-11485,415.19599999999997,126.8694,11,3,1
BT-11530,2684.4919999999997,409.4983,44,10,1
BT-11680,3196.752,447.74839999999995,88,20,0
BV-11245,1523.2730000000001,315.2214,49,14,0
BW-11065,385.516,-58.28659999999999,8,3,1
BW-11110,4750.358,921.2574,74,17,0
BW-11200,1738.406,246.9973,49,10,1
CA-11965,3789.7228,1143.3817,29,10,1
CA-12055,1679.7240000000002,211.2559,49,10,1
CA-12265,2648.2872,279.6183,65,17,0
CA-12310,1421.954,246.02179999999998,25,11,1
CA-12775,3041.566,204.48950000000002,72,17,0
CB-12025,6076.139,150.2089,122,26,0
CB-12415,1949.2,272.3883,44,12,1
CB-12535,4246.4555,1049.5601,74,19,0
CC-12100,1770.945,208.5912,46,13,1
CC-12145,2471.65,392.2825,31,11,1
CC-12220,3913.418,393.9618,81,22,0
CC-12370,12129.072000000002,2177.0493,34,11,2
CC-12430,2870.05,424.6583,63,19,0
CC-12475,1659.438,154.851,40,13,1
CC-12550,113.832,33.870599999999996,14,4,1
CC-12610,2540.631,331.434,39,12,1
CC-12670,2269.7015,187.8399,47,14,0
CC-12685,2854.1150000000002,850.1591,51,12,0
CD-11920,2033.968,426.661,35,9,1
CD-11980,639.766,-206.7172,22,6,1
CD-12280,1205.584,233.0274,39,13,1
CD-12790,1860.732,403.8422,49,15,0
CG-12040,904.4680000000001,86.5106,37,9,1
CG-12520,1148.7800000000002,169.93439999999998,14,5,1
CH-12070,1537.236,195.15109999999999,13,4,1
CJ-11875,16.52,1.652,5,1,1
CJ-12010,11164.974,858.7414,83,20,2
CK-12205,3154.855,141.2831,122,32,0
CK-12325,2945.321,261.22090000000003,46,12,1
CK-12595,2372.75,497.70980000000003,108,25,0
CK-12760,1582.109,-338.4311,64,14,0
CL-11890,1262.0140000000001,328.0847,24,7,1
CL-12565,10880.546,1933.7830999999999,106,28,2
CL-12700,2353.586,229.00990000000002,34,8,1
CM-11815,1673.888,214.463,38,10,1
CM-11935,565.392,-43.732400000000005,18,4,1
CM-12115,1661.6100000000001,409.0679,35,7,1
CM-12160,2533.314,-394.3686,23,7,1
CM-12190,1475.144,91.2033,21,7,1
CM-12235,2305.712,365.0387,28,8,1
CM-12385,8954.019999999999,3899.8903999999998,34,10,2
CM-12445,287.99,64.4296,32,9,1
CM-12655,6339.5576,1572.4585,42,10,0
CM-12715,3984.4524,176.3108,57,13,0
CP-12085,5402.254,427.0258,57,14,0
CP-12340,5888.275,-1850.3029000000001,59,15,0
CR-12580,2148.852,74.40129999999999,32,6,1
CR-12625,475.9,144.7594,14,4,1
CR-12730,1600.55,306.9176,18,6,1
CR-12820,1397.8724,83.27029999999999,26,7,1
CS-11845,1278.954,185.3776,22,8,1
CS-11860,537.632,105.8275,16,7,1
CS-11950,3036.547,-126.4223,68,22,0
CS-12130,884.64,143.8339,28,7,1
CS-12175,844.4580000000001,113.1405,30,8,1
CS-12250,2754.216,738.3626,97,28,0
CS-12355,3202.1620000000003,831.9432,74,22,0
CS-12400,3651.8585000000003,-342.80330000000004,47,14,0
CS-12460,550.644,156.2593,13,6,1
CS-12490,1077.2285,-302.8761,33,9,1
CS-12505,5690.054999999999,-6626.389499999999,40,9,1
CT-11995,3241.898,161.22629999999995,60,18,0
CV-12295,2830.6279999999997,493.0861,54,13,0
CV-12805,2370.3136,98.99749999999999,62,19,0
CW-11905,1136.592,370.8298,40,11,1
CY-12745,2900.026,60.64670000000001,43,11,1
Co-12640,1300.076,205.62820000000002,30,8,1
DA-13450,156.76,56.7904,27,8,1
DB-12910,2171.599,431.3748,47,12,1
DB-12970,2839.2272,213.00289999999998,43,14,0
DB-13060,4531.646,473.0272,48,13,0
DB-13120,2973.094,-1421.7692,59,14,0
DB-13210,2332.577,169.9679,75,21,0
DB-13270,4655.897,841.8263999999999,52,13,0
DB-13360,1081.466,291.0085,28,6,1
DB-13405,1711.692,438.9092,62,14,0
DB-13555,3908.8028,109.32700000000001,61,14,0
DB-13615,1989.05,438.80119999999994,41,11,1
DB-13660,1155.202,177.67350000000002,33,10,1
DC-12850,3336.168,-1441.6312999999998,64,18,0
DC-13285,1174.618,132.06820000000002,37,7,1
DD-13570,269.542,36.4344,33,9,1
DE-13255,2550.874,464.47139999999996,38,9,1
DF-13135,2390.534,-259.3097,23,6,1
DG-13300,3195.818,562.7761,39,8,1
DH-13075,4932.872,1193.7404,81,23,0
DH-13675,1043.096,116.667,41,11,1
DJ-13420,2012.52,483.03499999999997,20,5,1
DJ-13510,2501.6879999999996,345.2521,52,13,0
DJ-13630,3356.398,731.5644,43,8,1
DK-12835,3256.48,881.1228000000001,86,27,0
DK-12895,4282.176,937.6496,65,15,0
DK-12985,1687.04,-107.35379999999998,32,8,1
DK-13090,2650.557,536.3935,33,13,1
DK-13150,797.832,249.9447,20,5,1
DK-13225,4802.394,209.89940000000004,70,19,0
DK-13375,3318.486,377.0799,77,23,0
DL-12865,1503.112,322.2449,51,14,0
DL-12925,3272.2,4.213200000000029,43,14,0
DL-13315,1458.258,288.8732,74,17,0
DL-13330,585.02,222.6812,32,8,1
DL-13495,3539.322,-52.78799999999997,33,12,1
DM-12955,1322.034,108.7583,28,9,1
DM-13015,6345.103,1677.3931,87,20,2
DM-13345,4074.4719999999998,1319.0586,41,13,0
DM-13525,1376.792,199.7688,33,10,1
DN-13690,2139.79,540.5405000000001,41,11,1
DO-13435,1300.0315,-38.90860000000001,48,13,1
DO-13645,1267.316,294.0676,36,11,1
DP-13000,1050.636,241.4524,58,17,0
DP-13105,2215.002,563.1761,63,14,0
DP-13165,1058.616,-40.93759999999999,20,4,1
DP-13390,5480.723999999999,1571.8318,50,14,0
DR-12880,6528.034000000001,1641.8613,103,24,2
DR-12940,8350.868,2869.0759999999996,57,13,2
DS-13030,1762.213,193.3319,54,19,0
DS-13180,2881.8128,163.6993,68,20,0
DV-13045,1119.483,-427.184,28,9,1
DV-13465,3341.587,353.2127,62,15,0
DW-13195,1080.751,-86.87379999999999,39,9,1
DW-13480,5271.628,1348.7556,38,11,0
DW-13540,344.08,69.6672,21,9,1
DW-13585,1204.854,-266.8966,44,10,1
Dl-13600,755.602,175.2388,19,6,1
Dp-13240,7198.7609999999995,333.36479999999995,99,29,2
EA-14035,2846.705,-52.74059999999998,87,25,0
EB-13705,3644.978,13.621500000000005,55,12,0
EB-13750,3236.314,-80.28599999999999,91,20,0
EB-13840,4358.128,656.1988,41,8,1
EB-13870,2767.219,261.5315,41,11,1
EB-13930,944.6000000000001,0.6042000000000058,24,7,1
EB-13975,1643.255,162.8781,18,6,1
EB-14110,3071.126,184.7656,30,11,1
EB-14170,1186.326,282.1701,20,7,1
EC-14050,461.914,96.4256,37,7,1
ED-13885,3484.92,670.4435000000001,54,14,0
EG-13900,1832.02,104.2656,44,9,1
EH-13765,10310.880000000001,1393.5154,120,32,2
EH-13945,684.1709999999999,53.53980000000001,72,17,0
EH-13990,825.9499999999999,150.3759,20,8,1
EH-14005,1219.53,-94.14079999999997,50,11,1
EH-14125,3082.653,96.27019999999999,76,18,0
EH-14185,923.884,242.1107,22,8,1
EJ-13720,2162.174,387.0176,31,8,1
EJ-14155,2656.691,451.87550000000005,31,8,1
EK-13795,1303.478,97.10659999999999,18,4,1
EL-13735,124.28,27.1154,9,2,1
EM-13810,2567.0099999999998,-133.8275,23,7,1
EM-13825,2339.598,682.5541999999999,57,16,0
EM-13960,933.704,102.29599999999999,18,6,1
EM-14065,228.99,40.15459999999999,22,6,1
EM-14095,1041.0420000000001,240.2362,34,10,1
EM-14140,4588.436000000001,1319.3655,74,21,0
EM-14200,366.822,21.7721,13,4,1
EN-13780,2199.366,496.1131,27,9,1
EP-13915,5478.0608,144.9578,124,31,0
ER-13855,1245.788,-295.7398,27,5,1
ES-14020,3510.4579999999996,1003.2935,31,8,1
ES-14080,4657.924,246.6661,77,20,0
FA-14230,2984.054,520.5229,58,17,0
FC-14245,3418.742,1217.1662000000001,50,14,0
FC-14335,3889.366,714.2926,37,10,1
FG-14260,1383.144,394.73969999999997,48,11,1
FH-14275,4256.272,1073.2676,65,21,0
FH-14350,2271.284,706.289,52,14,0
FH-14365,6987.196,2050.2826,52,13,2
FM-14215,2456.638,249.6808,48,15,0
FM-14290,3736.198,198.10949999999997,79,20,0
FM-14380,2523.266,191.4898,53,14,0
FO-14305,2678.438,215.59689999999998,60,15,0
FP-14320,4046.746,406.44730000000004,54,14,0
FW-14395,79.75,23.491300000000003,9,3,1
GA-14515,3919.7760000000003,840.899,48,14,0
GA-14725,1398.382,136.70790000000002,79,22,0
GB-14530,1568.44,7.837100000000003,62,20,0
GB-14575,4716.288,1135.8393,63,16,0
GD-14590,1888.07,230.93729999999996,25,6,1
GG-14650,2224.0,12.698500000000008,92,24,0
GH-14410,2819.4669999999996,-576.8335,65,17,0
GH-14425,4172.8460000000005,1176.4181,51,10,0
GH-14485,1361.2440000000001,-95.4498,15,3,1
GH-14665,146.94080000000002,-5.810200000000001,9,3,1
GK-14620,6497.27,1448.5525,66,14,0
GM-14440,3582.8199999999997,347.266,43,11,1
GM-14455,3078.624,793.2814000000001,54,12,0
GM-14500,1255.682,441.3185,53,13,0
GM-14680,3163.628,35.48649999999999,31,11,1
GM-14695,6049.966,188.7235,44,11,0
GP-14740,236.53,31.837600000000002,21,5,1
GR-14560,1284.38,359.83320000000003,23,5,1
GT-14635,9351.212,-4108.6589,26,6,1
GT-14710,11820.119999999999,2163.4269,106,29,2
GT-14755,226.436,-6.139200000000002,23,7,1
GW-14605,2189.019,-268.54229999999995,43,9,1
GZ-14470,4355.150000000001,1087.7539,48,14,0
GZ-14545,2454.6220000000003,828.661,25,5,1
HA-14905,2163.3,270.8574,45,10,1
HA-14920,2584.158,99.1445,72,18,0
HD-14785,251.36,-135.87599999999998,31,7,1
HE-14800,883.5319999999999,274.4028,44,11,1
HF-14995,2533.1639999999998,-13.876799999999989,70,19,0
HG-14845,785.628,147.0032,31,10,1
HG-14965,3247.642,-2797.9635000000003,68,17,0
HG-15025,3690.284,804.6113,38,11,1
HH-15010,218.668,86.7342,20,6,1
HJ-14875,358.1,98.6548,21,6,1
HK-14890,4877.784,956.9451,64,15,0
HL-15040,12873.297999999999,5622.4292000000005,50,11,2
HM-14860,8236.7648,2437.9836,76,20,2
HM-14980,736.276,117.2755,29,7,1
HP-14815,1990.314,373.8637,44,10,1
HR-14770,1299.288,185.5794,38,13,1
HR-14830,5248.787,1196.9504,51,14,0
HW-14935,9300.254,2164.1611,85,20,2
HZ-14950,886.52,-130.3879,21,6,1
IG-15085,744.574,320.4982,19,7,1
IL-15100,5040.736,1121.937,60,14,0
IM-15055,2872.63,975.7701,19,4,1
IM-15070,4930.474,514.6527,93,21,0
JA-15970,6491.026,-819.4217000000001,87,24,0
JB-15400,1791.605,156.05319999999998,43,16,0
JB-15925,900.552,-286.9808,32,8,1
JB-16000,644.1188,126.76490000000001,32,7,1
JB-16045,2518.115,201.51850000000002,32,9,1
JC-15340,71.263,-0.35560000000000036,12,4,1
JC-15385,1058.108,502.92440000000005,14,4,1
JC-15775,2772.055,279.56919999999997,64,16,0
JC-16105,858.576,201.5952,43,9,1
JD-15790,2152.352,-266.55249999999995,26,7,1
JD-15895,7610.8640000000005,1050.2667999999999,150,32,2
JD-16015,385.43,26.7605,39,11,1
JD-16060,695.442,111.11410000000001,17,6,1
JD-16150,8828.0305,1619.5199,60,17,2
JE-15475,1388.682,276.2197,49,13,1
JE-15610,7754.976,1623.4019,74,20,2
JE-15715,8697.842999999999,1262.2926,97,22,2
JE-15745,6760.8150000000005,221.79670000000002,90,23,0
JE-16165,2697.248,789.6476,34,7,1
JF-15190,2279.5860000000002,575.1259,72,19,0
JF-15295,955.124,97.28899999999999,42,14,1
JF-15355,1911.844,330.199,58,16,0
JF-15415,2371.448,635.6376,69,14,0
JF-15490,1082.918,-18.06730000000001,36,15,1
JF-15565,4198.332,1073.2088,67,16,0
JG-15115,2358.676,684.1911,20,7,1
JG-15160,6366.392,1415.6664,70,18,2
JG-15310,2240.58,3.7976000000000063,46,11,1
JG-15805,1507.018,206.1019,46,9,1
JH-15430,309.281,-24.077100000000005,29,7,1
JH-15820,528.91,26.082199999999997,29,8,1
JH-15910,959.477,-13.554499999999996,35,9,1
JH-15985,7954.9980000000005,-644.6982,64,14,0
JH-16180,2256.3940000000002,-96.95300000000002,28,5,1
JJ-15445,709.178,200.5558,25,6,1
JJ-15760,195.0,34.449200000000005,11,3,1
JK-15205,4427.142,1219.983,67,13,0
JK-15325,383.812,55.32769999999999,15,4,1
JK-15370,2709.632,330.2838,72,17,0
JK-15625,3760.028,750.9485,44,12,0
JK-15640,4760.434,1172.5303,41,12,0
JK-15730,4867.2,55.0483,88,20,0
JK-16090,3747.668,586.6625,43,9,1
JK-16120,2932.484,122.6566,49,17,0
JL-15130,1214.956,-207.79559999999998,42,12,1
JL-15175,1571.523,209.2817,29,7,1
JL-15235,2203.7,54.51740000000002,39,10,1
JL-15505,3173.874,591.7163,56,17,0
JL-15835,9799.923,228.907,143,34,2
JL-15850,2725.256,779.9046,38,11,1
JM-15250,3159.1220000000003,19.82350000000004,91,19,0
JM-15265,1804.146,502.6143,52,13,0
JM-15535,1733.443,356.5395,46,10,1
JM-15580,303.948,113.1204,26,7,1
JM-15655,864.947,117.20400000000001,41,12,1
JM-15865,7625.076000000001,1574.6163999999999,50,13,2
JM-16195,2833.9260000000004,754.1144,74,19,0
JO-15145,3254.949,581.4045,59,13,0
JO-15280,1934.272,202.13619999999997,36,11,1
JO-15550,1090.838,167.6709,42,11,1
JP-15460,1669.135,429.7465,54,15,0
JP-15520,3635.594,757.1802,63,16,0
JP-16135,1707.71,309.7116,47,13,1
JR-15670,1156.658,-785.1645,14,3,1
JR-15700,863.88,107.985,3,1,1
JR-16210,2201.686,452.37300000000005,41,10,1
JS-15595,1417.654,-175.54899999999998,35,8,1
JS-15685,1131.0639999999999,-54.8692,42,11,1
JS-15880,3868.02,564.9798000000001,43,9,1
JS-15940,469.169,-327.9336,37,8,1
JS-16030,2516.494,-311.25749999999994,70,18,0
JW-15220,7721.714,2173.7093999999997,66,14,2
JW-15955,1244.086,-29.575899999999987,41,11,1
JW-16075,1428.731,154.06369999999998,38,7,1
KA-16525,1519.506,234.9194,57,11,1
KB-16240,3152.6150000000002,763.9076,34,10,1
KB-16315,1569.464,49.71929999999999,62,22,0
KB-16405,908.821,274.297,25,9,1
KB-16585,2744.742,579.3551,102,23,0
KB-16600,983.922,293.55240000000003,29,9,1
KC-16255,2120.954,846.1217,40,10,1
KC-16540,3908.262,709.4219,28,5,1
KC-16675,1146.05,156.7797,40,7,1
KD-16270,8282.358,1107.6952000000003,64,16,2
KD-16345,1888.964,328.5942,36,10,1
KD-16495,8181.256,3038.6254,84,28,2
KD-16615,2243.5099999999998,539.7219,56,13,0
KE-16420,1686.7312,397.87989999999996,67,15,0
KF-16285,10604.266,1660.1386,67,18,2
KH-16330,3312.864,454.7871,70,18,0
KH-16360,3100.612,528.2051,40,14,0
KH-16510,5952.859,656.1162,91,23,0
KH-16630,3918.9660000000003,727.3786,84,17,0
KH-16690,5990.799,1227.5091,69,15,0
KL-16555,5016.488,-182.78130000000002,84,22,0
KL-16645,14175.229000000001,806.855,113,29,2
KM-16225,2260.958,635.1057000000001,72,19,0
KM-16375,5620.186,973.7901999999999,69,20,0
KM-16660,453.538,91.1391,30,9,1
KM-16720,4909.472,745.7685,98,28,0
KN-16390,2617.272,-151.1518,56,17,0
KN-16450,2171.962,114.3083,49,8,1
KN-16705,2280.58,329.76250000000005,55,15,0
KS-16300,88.472,0.11099999999999888,10,4,1
KT-16465,3057.1,254.0032,45,14,0
KT-16480,4642.088400000001,194.0671,37,13,0
KW-16435,4416.5199999999995,1756.135,42,10,0
KW-16570,449.096,107.92699999999999,22,5,1
LA-16780,8673.222,2059.1199,105,26,2
LB-16735,50.188,18.6507,12,3,1
LB-16795,4985.676,-52.19099999999998,76,24,0
LC-16870,2580.7039999999997,-188.25110000000004,113,30,0
LC-16885,7663.126,1288.3469,93,23,2
LC-16930,4492.946,288.26599999999996,52,14,0
LC-16960,3246.626,299.48019999999997,30,7,1
LC-17050,2095.064,86.77799999999999,43,9,1
LC-17140,2633.582,231.12520000000004,62,19,0
LD-16855,5.304,0.4641,3,1,1
LD-17005,1961.934,557.1714,25,7,1
LE-16810,1469.45,161.76489999999998,32,9,1
LF-17185,3930.5089999999996,-3583.977,69,16,0
LH-16750,287.426,12.627699999999999,12,3,1
LH-16900,2295.332,526.0727,64,15,0
LH-17020,318.239,-242.73989999999998,34,6,1
LH-17155,1739.689,316.5202,44,19,0
LL-16840,2741.2039999999997,560.0078,50,12,0
LM-17065,1346.774,-44.87799999999999,32,7,1
LO-17170,644.35,150.1712,34,9,1
LP-17080,756.606,110.7813,39,9,1
LP-17095,3653.399,338.44539999999995,52,15,0
LR-16915,5142.892,535.4764,64,16,0
LR-17035,1879.306,-382.8079,44,12,1
LS-16945,2845.27,-318.77369999999996,51,14,0
LS-16975,2988.674,262.63669999999996,63,22,0
LS-17200,1010.2560000000001,244.197,54,14,0
LS-17230,368.88000000000005,39.1952,16,6,1
LS-17245,1008.1360000000001,348.3584,47,12,1
LT-16765,329.876,59.036,8,3,1
LT-17110,2936.252,320.973,63,14,0
LW-16825,2238.061,32.5767,50,15,0
LW-16990,3230.308,662.8339000000001,38,11,1
LW-17125,1259.04,192.6312,15,5,1
LW-17215,5420.514,837.2411,59,15,0
MA-17560,4299.161,1240.2266,117,34,2
MA-17995,2453.284,280.7822,42,12,1
MB-17305,1548.702,212.425,63,19,0
MB-18085,1428.231,117.8057,39,10,1
MC-17275,2725.982,461.0014,54,13,0
MC-17425,4432.138,1802.3903,48,10,0
MC-17575,1303.893,210.7493,40,11,1
MC-17590,2426.067,288.98409999999996,47,17,0
MC-17605,2258.192,195.4486,60,18,0
MC-17635,795.154,-247.94350000000003,33,8,1
MC-17845,3805.714,698.4174,45,14,0
MC-18100,2218.98,-64.1668,73,19,0
MC-18130,1581.9979999999998,121.7565,34,11,1
MD-17350,3766.382,-241.94999999999996,64,17,0
MD-17860,1204.91,-4.040300000000002,45,8,1
ME-17320,10663.728000000001,1859.4695,82,22,2
ME-17725,1908.4532,77.81280000000001,46,13,1
ME-18010,1256.944,107.3604,15,6,1
MF-17665,937.039,-341.52650000000006,36,8,1
MF-18250,1758.3,456.86080000000004,38,12,1
MG-17650,3785.276,341.898,57,14,0
MG-17680,2350.188,25.888599999999972,25,10,1
MG-17695,1342.282,-398.79319999999996,23,7,1
MG-17875,1242.8329999999999,-470.7684,23,7,1
MG-17890,776.384,171.7372,35,13,1
MG-18145,3061.543,-93.603,42,8,1
MG-18205,16.739,-1.2453,8,2,1
MH-17290,2394.025,28.761200000000038,55,13,0
MH-17440,400.016,61.428599999999996,25,9,1
MH-17455,2456.1820000000002,484.77330000000006,45,11,1
MH-17620,1252.8,122.3612,19,6,1
MH-17785,2203.7780000000002,238.5614,42,11,1
MH-18025,2984.948,476.9032,31,10,1
MH-18115,5503.093,170.9746,79,22,0
MJ-17740,6320.746,1054.5529000000001,50,15,0
MK-17905,2302.368,-405.3559,73,17,0
MK-18160,1031.602,227.83380000000002,43,11,1
ML-17395,2722.843,684.9162,72,20,0
ML-17410,2921.5,-76.17550000000003,51,15,0
ML-17755,2071.9139999999998,409.51120000000003,53,13,0
ML-18040,742.082,138.71620000000001,18,4,1
ML-18265,162.232,42.6648,7,3,1
MM-17260,1314.023,178.402,17,6,1
MM-17920,3794.0800000000004,82.12499999999997,68,16,0
MM-18055,2749.881,-520.3443,73,19,0
MM-18280,775.414,58.8916,32,12,1
MN-17935,2477.946,290.8227,36,10,1
MO-17500,922.487,59.357699999999994,15,5,1
MO-17800,1687.0269999999998,169.34369999999998,49,11,1
MO-17950,154.288,-82.0074,14,4,1
MP-17470,3206.132,600.2873,77,14,0
MP-17965,3983.6420000000003,638.1563,62,20,0
MP-18175,5087.92,226.4529,78,19,0
MR-17545,639.178,162.9363,29,6,1
MS-17365,7443.6900000000005,844.9354999999998,105,24,2
MS-17530,475.65599999999995,84.0268,21,7,1
MS-17710,1613.402,247.4348,48,15,0
MS-17770,3144.678,280.85839999999996,73,19,0
MS-17830,370.348,19.431199999999997,14,5,1
MS-17980,855.116,55.226,49,11,1
MT-17815,2890.139,509.0068,31,10,1
MT-18070,1319.4498,-23.676300000000005,44,11,1
MV-17485,1560.05,189.0258,52,15,0
MV-18190,1734.574,273.8582,37,11,1
MW-18220,5341.900000000001,1238.422,51,14,0
MW-18235,5253.876,1665.516,13,3,1
MY-17380,2254.285,319.1211,49,13,0
MY-18295,4152.696,-371.7111,89,21,0
MZ-17335,593.606,85.01910000000001,11,6,1
MZ-17515,2564.906,787.7503,39,10,1
NB-18580,273.87199999999996,24.788800000000002,7,2,1
NB-18655,1972.599,117.6429,64,17,0
NC-18340,2461.404,580.3075,54,17,0
NC-18415,2218.9900000000002,-2204.8072,38,14,1
NC-18535,8241.739,1314.758,64,15,2
NC-18625,1821.742,-359.02099999999996,29,9,1
ND-18370,4326.139,353.64549999999997,63,18,0
ND-18460,2893.455,443.33680000000004,36,8,1
NF-18385,8322.826,-1695.9714,52,14,0
NF-18475,377.16200000000003,85.92779999999999,13,4,1
NF-18595,2031.472,388.2131,55,12,0
NG-18355,1869.58,313.63349999999997,45,16,0
NG-18430,1395.9379999999999,217.0893,41,9,1
NH-18610,2673.29,760.1666,52,11,0
NK-18490,572.048,121.2177,51,11,1
NL-18310,1418.0900000000001,343.6381,44,10,1
NM-18445,6459.344,2751.6848999999997,44,14,2
NM-18520,2161.979,788.9525000000001,60,15,0
NP-18325,5529.62,1208.8890000000001,77,21,0
NP-18670,3908.402,514.6002,46,10,1
NP-18685,1228.698,514.5017,23,7,1
NP-18700,7903.1825,631.2282,63,13,0
NR-18550,2367.277,-25.148799999999966,37,13,1
NS-18505,2575.863,-12.303999999999997,52,15,0
NS-18640,2964.823,-234.7714,113,26,0
NW-18400,7234.014,1023.123,78,22,2
NZ-18565,2488.31,402.4236,77,20,0
ON-18715,1567.52,-5.88900000000001,58,15,0
OT-18730,3818.624,-925.1203,51,10,1
PA-19060,729.408,225.8588,27,7,1
PB-18805,740.356,229.2257,54,10,1
